"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","inCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","occurrenceRemarks","reproductiveCondition","recordedByIDs.type","recordedByIDs.value","locationID","county","municipality","locality","associatedReferences","eventID","informationWithheld","footprintWKT","identificationVerificationStatus","http...unknown.org.license","eventRemarks","vernacularName","taxonConceptID","http...unknown.org.rightsHolder","individualCount","lifeStage","continent","dataGeneralizations","higherClassification","samplingProtocol","habitat","gadm","datasetID","language","nomenclaturalStatus","endDayOfYear","verbatimSRS","parentNameUsageID","acceptedNameUsageID","startDayOfYear","ownerInstitutionCode","accessRights","elevation","nomenclaturalCode","bibliographicCitation","institutionKey","verbatimCoordinateSystem","type"
"3455790294","Arabidopsis thaliana (L.) Heynh.",51.493676,-0.015267,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T08:57:59.384+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-03T17:31:00","England",2022,1,3,"2022-01-03T11:10:00","2022-01-17T10:52:21.000+00:00","2022-07-10T08:57:59.384+00:00","https://www.inaturalist.org/observations/104286730","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","pilmar","pilmar",FALSE,"WGS84","Magnoliopsida","GB","none","none","United Kingdom of Great Britain and Northern Ireland","pilmar","104286730","pilmar","2022/01/03 11:10 AM GMT","Observations","3455790294","Millwall Outer Dock, Millwall, East End of London, England","https://www.inaturalist.org/observations/104286730","55021","104286730","iNaturalist","11:10:00Z","wild","229512811","Arabidopsis thaliana (L.) Heynh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456195502","Arabidopsis thaliana (L.) Heynh.",49.022404,-123.046758,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T08:47:45.261+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-06T07:27:30","British Columbia",2022,1,3,"2022-01-03T16:19:00","2022-01-07T17:11:22.000+00:00","2022-07-10T08:47:45.261+00:00","https://www.inaturalist.org/observations/104451254","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Cole Gaerber","Cole Gaerber",FALSE,"WGS84","Magnoliopsida","CA","none","none","Canada","Cole Gaerber","104451254","cgbc","2022/01/03 4:19 PM PST","Observations","3456195502","Tsawwassen, Delta, BC, Canada","https://www.inaturalist.org/observations/104451254","55021","104451254","iNaturalist","00:19:00Z","wild","230003353","Arabidopsis thaliana (L.) Heynh.",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456233629","Arabidopsis thaliana (L.) Heynh.",51.434737,-0.185968,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T05:48:48.033+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-03T16:10:26","England",2022,1,3,"2022-01-03T14:14:00","2022-01-03T19:51:47.000+00:00","2022-07-10T05:48:48.033+00:00","https://www.inaturalist.org/observations/104282478","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Daniel Cahen","Daniel Cahen",FALSE,"WGS84","Magnoliopsida","GB","none","none","United Kingdom of Great Britain and Northern Ireland","Daniel Cahen","104282478","danielcahen","2022/01/03 2:14 PM GMT","Observations","3456233629","Merton, England, United Kingdom","https://www.inaturalist.org/observations/104282478","55021","104282478","iNaturalist","14:14:00Z","wild","229498850","Arabidopsis thaliana (L.) Heynh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456419505","Arabidopsis thaliana (L.) Heynh.",33.017764,-117.044736,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T06:09:08.548+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-17T21:54:07","California",2022,1,17,"2022-01-17T10:53:24","2022-01-21T21:52:16.000+00:00","2022-07-10T06:09:08.548+00:00","https://www.inaturalist.org/observations/105109350","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","iamsharkgirl","Pisasters & Clamities",FALSE,"WGS84","Magnoliopsida","US","none","none","United States of America","iamsharkgirl","105109350","iamsharkgirl","Mon Jan 17 2022 10:53:24 GMT-0800 (PST)","Observations","3456419505","Espola Rd, Poway, CA, US","https://www.inaturalist.org/observations/105109350","55021","105109350","iNaturalist","18:53:24Z","wild","232093021","Arabidopsis thaliana (L.) Heynh.",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456819924","Arabidopsis thaliana (L.) Heynh.",51.497494,-0.135658,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T05:47:40.171+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-12T17:59:09","England",2022,1,12,"2022-01-12T13:08:08","2022-01-12T18:55:41.000+00:00","2022-07-10T05:47:40.171+00:00","https://www.inaturalist.org/observations/104813195","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Milo","Tig",FALSE,"WGS84","Magnoliopsida","GB","none","none","United Kingdom of Great Britain and Northern Ireland","Milo","104813195","milodoingstuff","2022-01-12 13:08:08","Observations","3456819924","Westminster","https://www.inaturalist.org/observations/104813195","55021","104813195","iNaturalist","13:08:08Z","wild","231162709","Arabidopsis thaliana (L.) Heynh.",1434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456830204","Arabidopsis thaliana (L.) Heynh.",35.088181,-80.01928,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T08:46:28.979+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-20T00:22:23","North Carolina",2022,1,19,"2022-01-19T14:34:46","2022-01-29T00:38:53.000+00:00","2022-07-10T08:46:28.979+00:00","https://www.inaturalist.org/observations/105236813","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Becky","Becky",FALSE,"WGS84","Magnoliopsida","US","none","none","United States of America","Becky","105236813","gillydilly","Wed Jan 19 2022 14:34:46 GMT-0500 (EST)","Observations","3456830204","Wadesboro, NC, US","https://www.inaturalist.org/observations/105236813","55021","105236813","iNaturalist","19:34:46Z","wild","232482780","Arabidopsis thaliana (L.) Heynh.",10,"Crop-field weed. Pee Dee NWR","fruiting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3457152749","Arabidopsis thaliana (L.) Heynh.",43.236378,-123.37095,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T05:47:36.136+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-04T08:15:12","Oregon",2022,1,2,"2022-01-02T12:12:23","2022-01-04T08:44:24.000+00:00","2022-07-10T05:47:36.136+00:00","https://www.inaturalist.org/observations/104302707","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Ryan McMinds","Alex Wright",FALSE,"WGS84","Magnoliopsida","US",NA,"none","United States of America","Ryan McMinds","104302707","rmcminds","Sun Jan 02 2022 12:12:23 GMT-0800 (PST)","Observations","3457152749","NW Stewart Pkwy, Roseburg, OR, US","https://www.inaturalist.org/observations/104302707","55021","104302707","iNaturalist","12:12:23Z","wild","229641241","Arabidopsis thaliana (L.) Heynh.",4,NA,NA,"ORCID","https://orcid.org/0000-0001-6333-6845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3457161808","Arabidopsis thaliana (L.) Heynh.",49.219122,-123.208019,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T05:47:00.367+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-09T07:18:07","British Columbia",2022,1,8,"2022-01-08T16:51:00","2022-01-09T16:23:55.000+00:00","2022-07-10T05:47:00.367+00:00","https://www.inaturalist.org/observations/104627588","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Cole Gaerber","Cole Gaerber",FALSE,"WGS84","Magnoliopsida","CA","none","none","Canada","Cole Gaerber","104627588","cgbc","2022/01/08 4:51 PM PST","Observations","3457161808","Richmond, BC, Canada","https://www.inaturalist.org/observations/104627588","55021","104627588","iNaturalist","00:51:00Z","wild","230532414","Arabidopsis thaliana (L.) Heynh.",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3460018346","Arabidopsis thaliana (L.) Heynh.",59.465222,10.656121,"cdround,gass84","b124e1e0-4755-430f-9eab-894f25a9b59c","d3978a37-635a-4ae3-bb85-7b4d41bc0b88","7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6","NO","DWC_ARCHIVE","2022-07-20T10:23:41.538+00:00","2022-07-20T11:33:55.496+00:00",215,"d3978a37-635a-4ae3-bb85-7b4d41bc0b88","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Viken",2022,1,25,"2022-01-25T00:00:00","2022-01-25T14:49:37.000+00:00","2022-07-20T11:33:55.496+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,NA,"Bård Haugsrud",NA,FALSE,"WGS84","Magnoliopsida","NO","none","none","Norway",NA,"urn:uuid:498ac022-8105-44ae-96cd-f5ffbe82b6b4",NA,NA,"so2-vascular","3460018346",NA,"urn:uuid:498ac022-8105-44ae-96cd-f5ffbe82b6b4",NA,"28446080","nbf",NA,NA,NA,"Arabidopsis thaliana (L.) Heynh.",10,NA,NA,NA,NA,"1617148","Viken","Moss","Kjellandsvikbukta, Moss, Vi","https://www.artsobservasjoner.no/Sighting/28446080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3468293844","Arabidopsis thaliana (L.) Heynh.",56.071731,-3.455361,"indci,fpwktinv","0a013f89-5381-4578-9d82-5f28fd5f1ef6","aa569acf-991d-4467-b327-8442f30ddbd2","99552c70-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2022-07-14T17:23:23.979+00:00","2022-07-14T17:28:56.195+00:00",60,"07f617d0-c688-11d8-bf62-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Scotland",2022,1,10,"2022-01-10T00:00:00",NA,"2022-07-14T17:28:56.195+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,NA,"Shuttleworth, A. Ali","Shuttleworth, Ali",FALSE,"WGS84","Magnoliopsida","GB","none","none","United Kingdom of Great Britain and Northern Ireland",NA,"7d9beae6-2289-407b-a1a5-3480bbba0f25",NA,NA,"iRecord | BSS Urban Flora project","3468293844",NA,"23543354","NBNSYS0000002913",NA,NA,NA,NA,NA,"Arabidopsis thaliana (L.) Heynh.",707.1,"one plant found, flowering.",NA,NA,NA,NA,NA,NA,"Dunfermline",NA,"16909426","OSGB Grid Reference NT0987","POLYGON((-3.46322 56.06715,-3.46322 56.07632,-3.4475 56.07632,-3.4475 56.06715,-3.46322 56.06715))","Accepted - correct","https://creativecommons.org/licenses/by/4.0/legalcode","SE Dunfermline town","Thale Cress","NBNSYS0000002913","Botanical Society of Britain and Ireland and Biological Records Centre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3712579511","Arabidopsis thaliana (L.) Heynh.",48.464619,-123.37369,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2022-07-10T01:28:35.929+00:00","2022-07-10T05:48:42.571+00:00",312,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE","2022-01-26T02:04:38","British Columbia",2022,1,25,"2022-01-25T20:13:14","2022-06-27T17:53:26.000+00:00","2022-07-10T05:48:42.571+00:00","https://www.inaturalist.org/observations/105589062","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"iNaturalist research-grade observations","Bryn Armstrong","Bryn Armstrong",FALSE,"WGS84","Magnoliopsida","CA","none","none","Canada","Bryn Armstrong","105589062","bryn_","2022-01-25 12:13:14","Observations","3712579511","Capital, CA-BC, CA","https://www.inaturalist.org/observations/105589062","55021","105589062","iNaturalist","20:13:14Z","wild","233574098","Arabidopsis thaliana (L.) Heynh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723020182","Arabidopsis thaliana (L.) Heynh.",51.55,4.9,"osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2022-07-01T16:43:02.066+00:00","2022-07-01T19:15:18.739+00:00",86,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Noord-Brabant",2022,1,22,"2022-01-22T00:00:00","2022-01-22T00:00:00.000+00:00","2022-07-01T19:15:18.739+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.232687682","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,NA,NA,NA,FALSE,"WGS84","Magnoliopsida","NL","none","none","Netherlands","Stichting Observation International","232687682@OBS",NA,NA,"Observations","3723020182",NA,"https://observation.org/observation/232687682",NA,"OBS.232687682",NA,"13:54",NA,NA,"Arabidopsis thaliana (L.) Heynh.",5000,NA,NA,NA,NA,NA,NA,NA,"Rijen",NA,NA,NA,NA,NA,NA,NA,"Thale Cress",NA,NA,1,"Unknown","EUROPE","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`","Plantae|Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723157196","Arabidopsis thaliana (L.) Heynh.",51.2,3.85,"osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2022-07-01T16:43:02.066+00:00","2022-07-01T19:16:30.843+00:00",86,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Zeeland",2022,1,24,"2022-01-24T00:00:00","2022-01-24T00:00:00.000+00:00","2022-07-01T19:16:30.843+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.232847224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,NA,NA,NA,FALSE,"WGS84","Magnoliopsida","NL","none","none","Netherlands","Stichting Observation International","232847224@OBS",NA,NA,"Observations","3723157196",NA,"https://observation.org/observation/232847224",NA,"OBS.232847224",NA,"16:37",NA,NA,"Arabidopsis thaliana (L.) Heynh.",5000,NA,NA,NA,NA,NA,NA,NA,"Zuiddorpe - Oude Polder ",NA,NA,NA,NA,NA,NA,NA,"Thale Cress",NA,NA,1,"Vegetative","EUROPE","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`","Plantae|Brassicaceae","field observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723177024","Arabidopsis thaliana (L.) Heynh.",53.15,6.7,"osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2022-07-01T16:43:02.066+00:00","2022-07-01T19:16:10.849+00:00",86,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Groningen",2022,1,21,"2022-01-21T00:00:00","2022-01-21T00:00:00.000+00:00","2022-07-01T19:16:10.849+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.232665518","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,NA,NA,NA,FALSE,"WGS84","Magnoliopsida","NL","none","none","Netherlands","Stichting Observation International","232665518@OBS",NA,NA,"Observations","3723177024",NA,"https://observation.org/observation/232665518",NA,"OBS.232665518",NA,"12:24",NA,NA,"Arabidopsis thaliana (L.) Heynh.",5000,NA,NA,NA,NA,NA,NA,NA,"Kolham - Bos aan Uiterdijken",NA,NA,NA,NA,NA,NA,NA,"Thale Cress",NA,NA,101,"Vegetative","EUROPE","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`","Plantae|Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723303276","Arabidopsis thaliana (L.) Heynh.",52.1,5.2,"osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2022-07-01T16:43:02.066+00:00","2022-07-01T19:57:58.661+00:00",86,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",3052436,6,7707728,220,7225535,3112,3052435,3052436,3052436,"Arabidopsis thaliana (L.) Heynh.","Plantae","Tracheophyta","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana","Arabidopsis","thaliana","SPECIES","ACCEPTED","NE",NA,"Utrecht",2022,1,22,"2022-01-22T00:00:00","2022-01-22T00:00:00.000+00:00","2022-07-01T19:57:58.661+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.232708176","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,NA,NA,NA,FALSE,"WGS84","Magnoliopsida","NL","none","none","Netherlands","Stichting Observation International","232708176@OBS",NA,NA,"Observations","3723303276",NA,"https://observation.org/observation/232708176",NA,"OBS.232708176",NA,"16:11",NA,NA,"Arabidopsis thaliana (L.) Heynh.",5000,NA,NA,NA,NA,NA,NA,NA,"Bilthoven - Beerschoten",NA,NA,NA,NA,NA,NA,NA,"Thale Cress",NA,NA,1,"Unknown","EUROPE","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`","Plantae|Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
